epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09782,1.77225,4.00634,1.63436,0.02703,0.125,0.11784,0.10924,1.10769,4.10883,1.2943,5.712e-05,5.712e-05,5.712e-05
2,6.87782,1.18822,3.66607,1.16727,0.04598,0.125,0.12437,0.12399,0.89149,4.02899,1.07693,0.000120178,0.000120178,0.000120178
3,8.61082,1.03454,3.22711,1.06199,0.04819,0.125,0.12437,0.12437,0.80402,3.89,0.97048,0.000181964,0.000181964,0.000181964
4,10.2948,1.0355,2.84487,1.16766,0.12245,0.30357,0.25806,0.22253,0.79896,3.74522,0.94236,0.000242478,0.000242478,0.000242478
5,12.0323,1.01799,2.44345,0.99205,0.11735,0.54306,0.48038,0.40408,0.82137,3.52066,0.94016,0.000301719,0.000301719,0.000301719
6,13.7178,0.98206,2.08603,0.97476,0.07809,0.55153,0.49491,0.40277,0.85682,3.31052,0.94006,0.000359688,0.000359688,0.000359688
7,15.4128,0.91586,1.73615,0.94865,0.99822,0.12915,0.50369,0.42967,0.74268,3.08781,0.91861,0.000416385,0.000416385,0.000416385
8,17.0638,0.80189,1.44444,0.94753,0.82189,0.374,0.57073,0.47404,0.77521,2.83708,0.93699,0.000471809,0.000471809,0.000471809
9,18.8483,0.89,1.34901,0.92154,0.99644,0.22416,0.71248,0.58463,0.75191,2.32025,0.90968,0.000525961,0.000525961,0.000525961
10,20.5568,0.75498,1.14118,0.91392,0.9964,0.38099,0.76179,0.6244,0.73062,1.9486,0.91494,0.000578841,0.000578841,0.000578841
11,22.2078,0.75077,1.08655,0.90968,0.90775,0.48661,0.78162,0.63897,0.73381,1.74272,0.90619,0.000630448,0.000630448,0.000630448
12,23.8518,0.7044,1.10467,0.93628,0.86953,0.73338,0.79228,0.65904,0.65831,1.22272,0.90597,0.000636245,0.000636245,0.000636245
13,25.4593,0.69834,0.97074,0.91334,0.87044,0.81697,0.80292,0.67673,0.64055,1.16318,0.88978,0.000629177,0.000629177,0.000629177
14,27.0898,0.64651,1.1454,0.93511,0.88006,0.83449,0.80845,0.67986,0.61786,1.03976,0.88755,0.000622108,0.000622108,0.000622108
15,28.7343,0.63932,0.87893,0.87618,0.88638,0.79545,0.81171,0.67366,0.64101,1.09906,0.89851,0.00061504,0.00061504,0.00061504
16,30.3543,0.66119,0.89332,0.90186,0.89727,0.82079,0.8116,0.66555,0.66658,0.82077,0.91224,0.000607971,0.000607971,0.000607971
17,31.9868,0.64258,0.82856,0.89806,0.90672,0.8128,0.82095,0.70462,0.59234,0.67986,0.89497,0.000600902,0.000600902,0.000600902
18,33.5998,0.63594,0.8132,0.89892,0.8944,0.84817,0.83031,0.70939,0.60182,0.73668,0.8947,0.000593834,0.000593834,0.000593834
19,35.2383,0.63838,0.78413,0.8914,0.89955,0.85542,0.83429,0.71077,0.57283,0.85135,0.89754,0.000586765,0.000586765,0.000586765
20,36.8818,0.57731,0.73002,0.88773,0.93081,0.83085,0.85475,0.72934,0.5843,0.65536,0.8855,0.000579697,0.000579697,0.000579697
21,38.5063,0.63643,0.72243,0.88629,0.96203,0.8092,0.86063,0.75145,0.53732,0.60685,0.8751,0.000572628,0.000572628,0.000572628
22,40.1803,0.58154,0.68111,0.88268,0.96805,0.82097,0.86172,0.73989,0.57778,0.60395,0.88062,0.000565559,0.000565559,0.000565559
23,41.8038,0.62536,0.73683,0.88013,0.96157,0.85436,0.86856,0.74063,0.57111,0.59731,0.88035,0.000558491,0.000558491,0.000558491
24,43.4318,0.59828,0.67442,0.87882,0.98883,0.85044,0.89346,0.75928,0.58573,0.51022,0.87983,0.000551422,0.000551422,0.000551422
25,45.0673,0.60764,0.70059,0.89849,0.98272,0.86102,0.89465,0.76952,0.58822,0.50014,0.88642,0.000544354,0.000544354,0.000544354
26,46.7128,0.58886,0.66729,0.86736,0.98015,0.86268,0.89061,0.76138,0.57142,0.51024,0.88072,0.000537285,0.000537285,0.000537285
27,48.3318,0.57359,0.65923,0.86165,0.97388,0.87379,0.93188,0.77636,0.55562,0.49556,0.88004,0.000530216,0.000530216,0.000530216
28,49.9898,0.58607,0.73068,0.86294,0.98403,0.86404,0.99362,0.82085,0.54165,0.48039,0.87498,0.000523148,0.000523148,0.000523148
29,51.6063,0.55284,0.63492,0.8635,0.98098,0.87335,0.99406,0.81032,0.5298,0.47507,0.87073,0.000516079,0.000516079,0.000516079
