epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.9975,1.53909,4.31861,1.40239,0,0,0,0,1.03748,4.28927,1.12585,8.092e-05,8.092e-05,8.092e-05
2,10.8425,1.10256,3.84221,1.10562,0.11429,0.125,0.12437,0.12287,0.81885,4.23835,1.01622,0.000164951,0.000164951,0.000164951
3,14.419,1.02992,3.24902,1.03069,0.26821,0.34738,0.30668,0.26909,0.8043,3.94757,0.9961,0.000247285,0.000247285,0.000247285
4,18.1965,0.978,2.54826,1.00351,0.24788,0.61153,0.4748,0.4096,0.86626,3.34575,1.00388,0.000327923,0.000327923,0.000327923
5,21.6875,0.94836,2.04961,0.97245,0.2195,0.69623,0.52765,0.44951,0.8022,2.93552,0.93814,0.000406864,0.000406864,0.000406864
6,25.1645,0.90124,1.70585,0.96143,0.85679,0.48441,0.70211,0.56549,0.75835,1.99558,0.91189,0.000452438,0.000452438,0.000452438
7,28.6935,0.84737,1.43427,0.93262,0.84322,0.58432,0.70879,0.57775,0.72231,1.50278,0.92227,0.000447726,0.000447726,0.000447726
8,32.228,0.81815,1.25903,0.9337,0.83345,0.76254,0.7825,0.62865,0.67131,0.97791,0.90653,0.000443013,0.000443013,0.000443013
9,35.761,0.76803,1.14654,0.91593,0.85975,0.79507,0.80144,0.62321,0.74301,0.92177,0.92282,0.000438301,0.000438301,0.000438301
10,39.194,0.74088,1.02685,0.90592,0.90713,0.80073,0.81564,0.6727,0.64464,0.81046,0.88438,0.000433588,0.000433588,0.000433588
11,42.7155,0.69201,0.94641,0.89987,0.88523,0.785,0.81114,0.66707,0.63673,0.97116,0.88298,0.000428876,0.000428876,0.000428876
12,46.1605,0.70175,0.9042,0.89577,0.96714,0.84861,0.88325,0.72487,0.60103,0.73884,0.87268,0.000424164,0.000424164,0.000424164
13,49.6285,0.70241,0.87155,0.89121,0.97578,0.85783,0.89785,0.73693,0.62496,0.79199,0.8719,0.000419451,0.000419451,0.000419451
14,52.7425,0.65121,0.8037,0.88311,0.81723,0.96092,0.93079,0.74693,0.6127,0.73966,0.87183,0.000414739,0.000414739,0.000414739
